Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif,lag1,lag2,lag3,lag4,lag5,lag6,avg30,avg60,delta1,label
2026-05-14 00:00:00,2026-05-14 12:45:37,2026-05-14 12:55:37,1,11,94.701,0,0,0,0,0,0,11,11,0,tinggi
2026-05-14 00:00:00,2026-05-14 12:55:48,2026-05-14 13:05:37,2,6,44.1,11,0,0,0,0,0,8.5,8.5,-5,tinggi
2026-05-14 00:00:00,2026-05-14 13:05:43,2026-05-14 13:15:37,3,4,35,6,11,0,0,0,0,7,7,-2,sedang
2026-05-14 00:00:00,2026-05-14 13:15:44,2026-05-14 13:25:37,4,2,15.5,4,6,11,0,0,0,4,5.75,-2,sedang
2026-05-14 00:00:00,2026-05-14 13:25:45,2026-05-14 13:35:37,5,3,26.3,2,4,6,11,0,0,3,5.2,1,sedang
2026-05-14 00:00:00,2026-05-14 13:35:45,2026-05-14 13:45:37,6,4,34.801,3,2,4,6,11,0,3,5,1,sedang
2026-05-14 00:00:00,2026-05-14 13:45:49,2026-05-14 13:55:37,7,5,43.902,4,3,2,4,6,11,4,4,1,tinggi
2026-05-14 00:00:00,2026-05-14 13:55:44,2026-05-14 14:05:37,8,17,143.807,5,4,3,2,4,6,8.667,5.833,12,tinggi
2026-05-14 00:00:00,2026-05-14 14:05:46,2026-05-14 14:15:37,9,17,149.302,17,5,4,3,2,4,13,8,0,tinggi
2026-05-14 00:00:00,2026-05-14 14:15:50,2026-05-14 14:25:37,10,1,8.7,17,17,5,4,3,2,11.667,7.833,-16,sedang
2026-05-14 00:00:00,2026-05-14 14:25:45,2026-05-14 14:35:37,11,1,8.701,1,17,17,5,4,3,6.333,7.5,0,sedang
2026-05-14 00:00:00,2026-05-14 14:35:49,2026-05-14 14:45:37,12,0,0,1,1,17,17,5,4,0.667,6.833,-1,rendah
2026-05-14 00:00:00,2026-05-14 14:45:49,2026-05-14 14:55:37,13,2,17.4,0,1,1,17,17,5,1,6.333,2,sedang
2026-05-14 00:00:00,2026-05-14 14:55:46,2026-05-14 15:05:37,14,1,8.7,2,0,1,1,17,17,1,3.667,-1,sedang
2026-05-14 00:00:00,2026-05-14 15:05:49,2026-05-14 15:15:37,15,1,8.6,1,2,0,1,1,17,1.333,1,0,sedang
2026-05-14 00:00:00,2026-05-14 15:15:45,2026-05-14 15:25:37,16,0,0,1,1,2,0,1,1,0.667,0.833,-1,rendah
2026-05-14 00:00:00,2026-05-14 15:25:49,2026-05-14 15:35:38,17,6,50.6,0,1,1,2,0,1,2.333,1.667,6,tinggi
2026-05-14 00:00:00,2026-05-14 15:35:47,2026-05-14 15:45:38,18,22,185.6,6,0,1,1,2,0,9.333,5.333,16,tinggi
2026-05-14 00:00:00,2026-05-14 15:45:47,2026-05-14 15:55:38,19,1,8.4,22,6,0,1,1,2,9.667,5.167,-21,sedang
2026-05-14 00:00:00,2026-05-14 15:55:49,2026-05-14 16:05:38,20,2,17,1,22,6,0,1,1,8.333,5.333,1,sedang
2026-05-14 00:00:00,2026-05-14 16:05:45,2026-05-14 16:15:38,21,4,29.3,2,1,22,6,0,1,2.333,5.833,2,sedang
2026-05-14 00:00:00,2026-05-14 16:15:48,2026-05-14 16:25:38,22,14,118.2,4,2,1,22,6,0,6.667,8.167,10,tinggi
2026-05-14 00:00:00,2026-05-14 16:25:52,2026-05-14 16:35:38,23,19,160.202,14,4,2,1,22,6,12.333,10.333,5,tinggi
2026-05-14 00:00:00,2026-05-14 16:35:48,2026-05-14 16:45:38,24,17,143.4,19,14,4,2,1,22,16.667,9.5,-2,tinggi
2026-05-14 00:00:00,2026-05-14 16:45:51,2026-05-14 16:55:38,25,25,210.5,17,19,14,4,2,1,20.333,13.5,8,tinggi
2026-05-14 00:00:00,2026-05-14 16:55:46,2026-05-14 17:05:38,26,20,168.202,25,17,19,14,4,2,20.667,16.5,-5,tinggi
2026-05-14 00:00:00,2026-05-14 17:05:45,2026-05-14 17:15:38,27,20,161.9,20,25,17,19,14,4,21.667,19.167,0,tinggi
2026-05-14 00:00:00,2026-05-14 17:15:45,2026-05-14 17:25:38,28,14,117,20,20,25,17,19,14,18,19.167,-6,tinggi
2026-05-14 00:00:00,2026-05-14 17:25:46,2026-05-14 17:35:38,29,20,167.8,14,20,20,25,17,19,18,19.333,6,tinggi
2026-05-14 00:00:00,2026-05-14 17:35:46,2026-05-14 17:45:38,30,13,107.2,20,14,20,20,25,17,15.667,18.667,-7,tinggi
2026-05-14 00:00:00,2026-05-14 17:45:50,2026-05-14 17:55:38,31,3,25.2,13,20,14,20,20,25,12,15,-10,sedang
2026-05-14 00:00:00,2026-05-14 17:55:45,2026-05-14 18:05:38,32,3,25.3,3,13,20,14,20,20,6.333,12.167,0,sedang
2026-05-14 00:00:00,2026-05-14 18:05:45,2026-05-14 18:15:38,33,15,126.202,3,3,13,20,14,20,7,11.333,12,tinggi
2026-05-14 00:00:00,2026-05-14 18:15:49,2026-05-14 18:25:38,34,9,75.7,15,3,3,13,20,14,9,10.5,-6,tinggi
2026-05-14 00:00:00,2026-05-14 18:25:45,2026-05-14 18:35:38,35,9,76.1,9,15,3,3,13,20,11,8.667,0,tinggi
2026-05-14 00:00:00,2026-05-14 18:35:47,2026-05-14 18:45:38,36,21,177.402,9,9,15,3,3,13,13,10,12,tinggi
2026-05-14 00:00:00,2026-05-14 18:45:46,2026-05-14 18:55:38,37,20,184.865,21,9,9,15,3,3,16.667,12.833,-1,tinggi
2026-05-14 00:00:00,2026-05-14 18:55:45,2026-05-14 19:05:38,38,8,67.7,20,21,9,9,15,3,16.333,13.667,-12,tinggi
2026-05-14 00:00:00,2026-05-14 19:05:45,2026-05-14 19:15:38,39,21,176.501,8,20,21,9,9,15,16.333,14.667,13,tinggi
2026-05-14 00:00:00,2026-05-14 19:15:48,2026-05-14 19:25:38,40,22,176.7,21,8,20,21,9,9,17,16.833,1,tinggi
2026-05-14 00:00:00,2026-05-14 19:25:46,2026-05-14 19:35:38,41,8,67.6,22,21,8,20,21,9,17,16.667,-14,tinggi
2026-05-14 00:00:00,2026-05-14 19:35:45,2026-05-14 19:45:38,42,19,160.6,8,22,21,8,20,21,16.333,16.333,11,tinggi
2026-05-14 00:00:00,2026-05-14 19:45:45,2026-05-14 19:55:38,43,13,108.9,19,8,22,21,8,20,13.333,15.167,-6,tinggi
2026-05-14 00:00:00,2026-05-14 19:55:47,2026-05-14 20:05:38,44,31,254.4,13,19,8,22,21,8,21,19,18,tinggi
2026-05-14 00:00:00,2026-05-14 20:05:49,2026-05-14 20:15:38,45,25,206.6,31,13,19,8,22,21,23,19.667,-6,tinggi
2026-05-14 00:00:00,2026-05-14 20:15:48,2026-05-14 20:25:38,46,18,152,25,31,13,19,8,22,24.667,19,-7,tinggi
2026-05-14 00:00:00,2026-05-14 20:25:49,2026-05-14 20:35:38,47,20,168.701,18,25,31,13,19,8,21,21,2,tinggi
2026-05-14 00:00:00,2026-05-14 20:35:47,2026-05-14 20:45:39,48,33,277.901,20,18,25,31,13,19,23.667,23.333,13,tinggi
2026-05-14 00:00:00,2026-05-14 20:45:45,2026-05-14 20:55:39,49,28,236.102,33,20,18,25,31,13,27,25.833,-5,tinggi
2026-05-14 00:00:00,2026-05-14 20:55:50,2026-05-14 21:05:39,50,7,59.1,28,33,20,18,25,31,22.667,21.833,-21,tinggi
2026-05-14 00:00:00,2026-05-14 21:05:48,2026-05-14 21:15:39,51,33,279,7,28,33,20,18,25,22.667,23.167,26,tinggi
2026-05-14 00:00:00,2026-05-14 21:15:48,2026-05-14 21:25:39,52,23,186.601,33,7,28,33,20,18,21,24,-10,tinggi
2026-05-14 00:00:00,2026-05-14 21:25:47,2026-05-14 21:35:39,53,17,137.6,23,33,7,28,33,20,24.333,23.5,-6,tinggi
2026-05-14 00:00:00,2026-05-14 21:35:48,2026-05-14 21:45:39,54,35,295.5,17,23,33,7,28,33,25,23.833,18,tinggi
2026-05-14 00:00:00,2026-05-14 21:45:51,2026-05-14 21:55:39,55,36,317.832,35,17,23,33,7,28,29.333,25.167,1,tinggi
