Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif
31/05/2026,6:44:00,6:54:00,1,0,0
31/05/2026,6:54:00,7:04:00,2,0,0
31/05/2026,7:04:00,7:14:00,3,0,0
31/05/2026,7:14:00,7:24:00,4,0,0
31/05/2026,7:24:00,7:34:00,5,0,0
31/05/2026,7:34:00,7:44:00,6,23,205
31/05/2026,7:44:00,7:54:00,7,20,179
31/05/2026,7:54:00,8:04:00,8,9,78
31/05/2026,8:04:00,8:14:00,9,0,0
31/05/2026,8:14:00,8:24:00,10,0,0
31/05/2026,8:24:00,8:34:00,11,0,0
31/05/2026,8:34:00,8:44:00,12,0,0
31/05/2026,8:44:00,8:54:00,13,0,0
31/05/2026,8:54:00,9:04:00,14,0,0
31/05/2026,9:04:00,9:14:00,15,13,116
31/05/2026,9:14:00,9:24:00,16,25,221
31/05/2026,9:24:00,9:34:00,17,0,0
31/05/2026,9:34:00,9:44:00,18,0,0
31/05/2026,9:44:00,9:54:00,19,0,0
31/05/2026,9:54:00,10:04:00,20,0,0
31/05/2026,10:04:00,10:14:00,21,0,0
31/05/2026,10:14:00,10:24:00,22,0,0
31/05/2026,10:24:00,10:34:00,23,0,0
31/05/2026,10:34:00,10:44:00,24,0,0
31/05/2026,10:44:00,10:54:00,25,0,0
31/05/2026,10:54:00,11:04:00,26,0,0
31/05/2026,11:04:00,11:14:00,27,0,0
31/05/2026,11:14:00,11:24:00,28,1,9
31/05/2026,11:24:00,11:34:00,29,0,0
31/05/2026,11:34:00,11:44:00,30,1,9
31/05/2026,11:44:00,11:54:00,31,17,152
31/05/2026,11:54:00,12:04:00,32,5,45
31/05/2026,12:04:00,12:14:00,33,0,0
31/05/2026,12:14:00,12:24:00,34,0,0
31/05/2026,12:24:00,12:34:00,35,0,0
31/05/2026,12:34:00,12:44:00,36,0,0
31/05/2026,12:44:00,12:54:00,37,0,0
