Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif
5/6/2026,19:22:00,19:32:00,1,3,26
5/6/2026,19:32:00,19:42:00,2,18,155
5/6/2026,19:42:00,19:52:00,3,6,58
5/6/2026,19:52:00,20:02:00,4,17,152
5/6/2025,20:02:00,20:12:00,5,0,0
5/6/2026,20:12:00,20:22:00,6,0,0
5/6/2026,20:22:00,20:32:00,7,0,0
5/6/2026,20:32:00,20:42:00,8,0,0
5/6/2026,20:42:00,20:52:00,9,22,198
5/6/2026,20:52:00,21:02:00,10,25,228
5/6/2026,21:02:00,21:12:00,11,24,217
5/6/2026,21:12:00,21:22:00,12,19,171
5/6/2026,21:22:00,21:32:00,13,12,107
5/6/2026,21:32:00,21:42:00,14,26,237
5/6/2026,21:42:00,21:52:00,15,28,252
5/6/2026,21:52:00,22:02:00,16,10,90
5/6/2026,22:02:00,22:12:00,17,8,72
5/6/2026,22:12:00,22:22:00,18,10,91
5/6/2026,22:22:00,22:32:00,19,31,271
5/6/2026,22:32:00,22:42:00,20,25,233
5/6/2026,22:42:00,22:52:00,21,22,189
